vertex angle,acceptance,stat_err
3.025,0.000772279,0.000273219
3.075,0.000799918,0.000283491
3.125,0.000422516,0.000211537
3.175,0.000681445,0.000278737
3.225,0.000814026,0.000308602
3.275,0.0013087,0.000395406
3.325,0.00190784,0.000494179
3.375,0.00189181,0.000504935
3.425,0.00229483,0.000574306
3.475,0.00217638,0.000563111
3.525,0.00274027,0.000647935
3.575,0.00343394,0.000731974
3.625,0.00554696,0.000951444
3.675,0.00612825,0.0010513
3.725,0.00912982,0.00128867
3.775,0.0185687,0.00186288
3.825,0.0241088,0.00216387
3.875,0.0343167,0.00261755
3.925,0.042378,0.0029814
3.975,0.0633859,0.00366436
4.025,0.0794113,0.00405195
4.075,0.115684,0.00496219
4.125,0.135594,0.00534495
4.175,0.158475,0.00586474
4.225,0.185661,0.00627252
4.275,0.236294,0.00697651
4.325,0.242571,0.00730546
4.375,0.269109,0.00762661
4.425,0.281821,0.00781645
4.475,0.31708,0.00844146
4.525,0.328804,0.00863508
4.575,0.347526,0.00864002
4.625,0.362783,0.00911268
4.675,0.352135,0.00894432
4.725,0.35939,0.00931612
4.775,0.373318,0.00965713
4.825,0.367967,0.0093108
4.875,0.38363,0.00969312
4.925,0.368368,0.0099217
4.975,0.366616,0.00991191
5.025,0.379201,0.0104737
5.075,0.374845,0.0105993
5.125,0.353618,0.010243
5.175,0.354671,0.0107178
5.225,0.351896,0.0106003
5.275,0.340108,0.0107621
5.325,0.338897,0.0111382
5.375,0.342247,0.0114018
5.425,0.343283,0.0112768
5.475,0.323281,0.0111939
5.525,0.3288,0.0115935
5.575,0.301847,0.011272
5.625,0.320666,0.0117795
5.675,0.292681,0.0114652
5.725,0.274984,0.011295
5.775,0.251476,0.0114904
5.825,0.246002,0.0114258
5.875,0.228024,0.0109287
5.925,0.197364,0.0107738
5.975,0.178551,0.010352
6.025,0.136788,0.00957132
6.075,0.126096,0.00944637
6.125,0.0898702,0.00825314
6.175,0.0709116,0.00745668
6.225,0.061873,0.00704685
6.275,0.0552564,0.00675247
6.325,0.0243637,0.00474455
6.375,0.0237412,0.00482434
6.425,0.0212395,0.00440352
6.475,0.00953338,0.00301467
6.525,0.0068002,0.00258083
6.575,0.00500892,0.0022393
6.625,0.00213218,0.00151416
6.675,0.00198904,0.00141761
6.725,0.00217449,0.00153493
6.775,0.00211955,0.0015034
6.825,0.00111433,0.00112648
6.875,0,0
6.925,0.00123701,0.00123709
6.975,0,0
7.025,0,0
7.075,0.00259076,0.00184259
7.125,0,0
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0,0
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
