vertex angle,acceptance,stat_err
3.025,0.000355069,0.00017813
3.075,0.000569461,0.000233346
3.125,0.000296431,0.000171929
3.175,0.00052362,0.000234622
3.225,0.000535283,0.00024059
3.275,0.00100934,0.00033803
3.325,0.00117178,0.000371786
3.375,0.00161466,0.000448555
3.425,0.00138566,0.000419271
3.475,0.00199164,0.000515883
3.525,0.00307199,0.000657297
3.575,0.00473197,0.000837694
3.625,0.00628482,0.000982724
3.675,0.00595135,0.000980723
3.725,0.00879062,0.00122077
3.775,0.0144119,0.00157838
3.825,0.0225445,0.00202777
3.875,0.0303931,0.0024003
3.925,0.0423639,0.00284285
3.975,0.0573385,0.00334361
4.025,0.0709998,0.00372947
4.075,0.101023,0.0045089
4.125,0.118617,0.00491375
4.175,0.137577,0.00530443
4.225,0.173042,0.00586288
4.275,0.184853,0.00615741
4.325,0.220881,0.00669195
4.375,0.237952,0.00701502
4.425,0.272065,0.00756752
4.475,0.300051,0.00790117
4.525,0.302662,0.00818338
4.575,0.327058,0.00832198
4.625,0.331105,0.0085793
4.675,0.361697,0.00874435
4.725,0.358481,0.00887142
4.775,0.358391,0.00904763
4.825,0.337397,0.00891807
4.875,0.354245,0.00910401
4.925,0.347264,0.00923592
4.975,0.339406,0.00923868
5.025,0.3317,0.00953452
5.075,0.320946,0.00979995
5.125,0.314948,0.00959225
5.175,0.319234,0.00996165
5.225,0.332371,0.00990466
5.275,0.332657,0.0103566
5.325,0.307651,0.0102422
5.375,0.306622,0.0102079
5.425,0.304981,0.0106629
5.475,0.290329,0.0103479
5.525,0.297279,0.0106006
5.575,0.294231,0.0109615
5.625,0.288237,0.0108271
5.675,0.271148,0.0107521
5.725,0.252922,0.0107598
5.775,0.24138,0.0106196
5.825,0.216367,0.0106152
5.875,0.20599,0.0103983
5.925,0.178606,0.0101024
5.975,0.160899,0.00961283
6.025,0.158387,0.0101007
6.075,0.107306,0.00834992
6.125,0.097478,0.00825329
6.175,0.0609518,0.00671345
6.225,0.0507882,0.00629026
6.275,0.0385736,0.00550369
6.325,0.0289415,0.00500965
6.375,0.0192734,0.0041028
6.425,0.0112642,0.00313851
6.475,0.0120139,0.00333457
6.525,0.00763506,0.00255484
6.575,0.00732592,0.00260753
6.625,0.00492168,0.00221062
6.675,0.00185637,0.00131906
6.725,0.00194032,0.00138203
6.775,0.00290342,0.0016946
6.825,0.00103628,0.00105466
6.875,0,0
6.925,0.001157,0.00115581
6.975,0,0
7.025,0,0
7.075,0,0
7.125,0.00117417,0.00119903
7.175,0,0
7.225,0,0
7.275,0,0
7.325,0,0
7.375,0.00134873,0.00135779
7.425,0,0
7.475,0,0
7.525,0,0
7.575,0,0
7.625,0,0
7.675,0,0
7.725,0,0
7.775,0,0
7.825,0,0
7.875,0,0
7.925,0,0
7.975,0,0
